,Date,Energy
192,05/07/2017,1176237.0
193,06/07/2017,1194046.0
194,07/07/2017,1195918.0
195,08/07/2017,1054142.0
196,09/07/2017,967861.0
197,10/07/2017,1131207.0
198,11/07/2017,1154331.0
199,12/07/2017,1169583.0
200,13/07/2017,1152116.0
201,14/07/2017,996320.0
202,15/07/2017,983051.0
203,16/07/2017,950099.0
204,17/07/2017,1149490.0
205,18/07/2017,1194539.0
206,19/07/2017,1191472.0
207,20/07/2017,1161867.0
208,21/07/2017,1137004.0
209,22/07/2017,1008454.0
210,23/07/2017,940167.0
211,24/07/2017,1100517.0
212,25/07/2017,1123551.0
213,26/07/2017,1130291.0
214,27/07/2017,1129118.0
215,28/07/2017,1105921.0
216,29/07/2017,990724.0
217,30/07/2017,925214.0
218,31/07/2017,1057699.0
219,,
220,01/08/2017,1083510.0
221,02/08/2017,1095162.0
222,03/08/2017,1102396.0
223,04/08/2017,1090598.0
224,05/08/2017,980684.0
225,06/08/2017,901336.0
226,07/08/2017,1011055.0
227,08/08/2017,1015339.0
228,09/08/2017,1004917.0
229,10/08/2017,1004242.0
230,11/08/2017,999338.0
231,12/08/2017,923300.0
232,13/08/2017,873166.0
233,14/08/2017,960874.0
234,15/08/2017,915845.0
235,16/08/2017,1009013.0
236,17/08/2017,1036338.0
237,18/08/2017,1039977.0
238,19/08/2017,947244.0
239,20/08/2017,894620.0
240,21/08/2017,1047719.0
241,22/08/2017,1089874.0
242,23/08/2017,1100664.0
243,24/08/2017,1110231.0
244,25/08/2017,1109194.0
245,26/08/2017,1003876.0
246,27/08/2017,943977.0
247,28/08/2017,1134841.0
248,29/08/2017,1174377.0
249,30/08/2017,1168997.0
250,31/08/2017,1134758.0
251,,
252,01/09/2017,1112787.0
253,02/09/2017,989146.0
254,03/09/2017,938260.0
255,04/09/2017,1111397.0
256,05/09/2017,1144944.0
257,06/09/2017,1144745.0
258,07/09/2017,1142667.0
259,08/09/2017,1139557.0
260,09/09/2017,1005676.0
261,10/09/2017,947209.0
262,11/09/2017,1126694.0
263,12/09/2017,1143762.0
264,13/09/2017,1177945.0
265,14/09/2017,1177844.0
266,15/09/2017,1169360.0
267,16/09/2017,1054003.0
268,17/09/2017,1012774.0
269,18/09/2017,1193980.0
270,19/09/2017,1223658.0
271,20/09/2017,1225125.0
272,21/09/2017,1202993.0
273,22/09/2017,1183810.0
274,23/09/2017,1048248.0
275,24/09/2017,977435.0
276,25/09/2017,1153613.0
277,26/09/2017,1177843.0
278,27/09/2017,1180898.0
279,28/09/2017,1177369.0
280,29/09/2017,1158123.0
281,30/09/2017,1036260.0
282,,
283,01/10/2017,992396.0
284,02/10/2017,1166989.0
285,03/10/2017,1185502.0
286,04/10/2017,1202519.0
287,05/10/2017,1217552.0
288,06/10/2017,1213264.0
289,07/10/2017,1109660.0
290,08/10/2017,1038419.0
291,09/10/2017,1203287.0
292,10/10/2017,1218144.0
293,11/10/2017,1217626.0
294,12/10/2017,1205522.0
295,13/10/2017,1185100.0
296,14/10/2017,1050562.0
297,15/10/2017,984298.0
298,16/10/2017,1153586.0
299,17/10/2017,1181812.0
300,18/10/2017,1191966.0
301,19/10/2017,1191499.0
302,20/10/2017,1192611.0
303,21/10/2017,1077724.0
304,22/10/2017,1056925.0
305,23/10/2017,1257177.0
306,24/10/2017,1255039.0
307,25/10/2017,1235267.0
308,26/10/2017,1241289.0
309,27/10/2017,1230365.0
310,28/10/2017,1149769.0
311,29/10/2017,1156971.0
312,30/10/2017,1310759.0
313,31/10/2017,1393483.0
314,,
315,01/11/2017,1255308.0
316,02/11/2017,1350319.0
317,03/11/2017,1325224.0
318,04/11/2017,1198397.0
319,05/11/2017,1191100.0
320,06/11/2017,1471911.0
321,07/11/2017,1566609.0
322,08/11/2017,1584385.0
323,09/11/2017,1562908.0
324,10/11/2017,1522418.0
325,11/11/2017,1319261.0
326,12/11/2017,1263882.0
327,13/11/2017,1546702.0
328,14/11/2017,1618718.0
329,15/11/2017,1618219.0
330,16/11/2017,1618363.0
331,17/11/2017,1583305.0
332,18/11/2017,1463568.0
333,19/11/2017,1403161.0
334,20/11/2017,1597962.0
335,21/11/2017,1576906.0
336,22/11/2017,1520836.0
337,23/11/2017,1460758.0
338,24/11/2017,1449359.0
339,25/11/2017,1385083.0
340,26/11/2017,1450129.0
341,27/11/2017,1662230.0
342,28/11/2017,1680929.0
343,29/11/2017,1724722.0
344,30/11/2017,1794250.0
345,,
346,01/12/2017,1824322.0
347,02/12/2017,1742613.0
348,03/12/2017,1705160.0
349,04/12/2017,1787907.0
350,05/12/2017,1772162.0
351,06/12/2017,1785572.0
352,07/12/2017,1804542.0
353,08/12/2017,1747203.0
354,09/12/2017,1685561.0
355,10/12/2017,1591536.0
356,11/12/2017,1697254.0
357,12/12/2017,1778089.0
358,13/12/2017,1800662.0
359,14/12/2017,1732459.0
360,15/12/2017,1729223.0
361,16/12/2017,1635519.0
362,17/12/2017,1615346.0
363,18/12/2017,1748789.0
364,19/12/2017,1804730.0
365,20/12/2017,1784501.0
366,21/12/2017,1692860.0
367,22/12/2017,1597248.0
368,23/12/2017,1433856.0
369,24/12/2017,1400535.0
370,25/12/2017,1396301.0
371,26/12/2017,1517353.0
372,27/12/2017,1582970.0
373,28/12/2017,1664743.0
374,29/12/2017,1668623.0
375,30/12/2017,1437082.0
376,31/12/2017,1335348.0
